No.,Topic,Description,Source
1,General,"The computer knows the intention of the program or of a piece of code, and acts accordingly.",Pea (1986)
2,General,The computer is able to deduce the intention of the programmer.,Pea (1986)
3,General,Values are updated automatically according to a logical context.,Ragonis and Ben-Ari (2005a)
4,General,The system does not allow unreasonable operations.,Ragonis and Ben-Ari (2005a)
5,General,Difficulties understanding the lifetime of values.,du Boulay (1986)
6,General,Difficulties with telling apart the static and dynamic aspects of programs.,du Boulay (1986); Ragonis and Ben-Ari (2005a)
7,General,The machine understands English.,du Boulay (1986)
8,General,Magical parallelism: several lines of a (simple nonconcurrent) program can be simultaneously active or known.,Pea (1986)
9,VarAssign,A variable can hold multiple values at a time / ‘remembers’ old values.,du Boulay (1986); Soloway et al. (1982); Putnam et al. (1986); Sleeman et al. (1986); Doukakis et al. (2007)
10,VarAssign,Variables always receive a particular default value upon creation.,du Boulay (1986); Samurçay (1989)
11,VarAssign,Primitive assignment works in opposite direction.,du Boulay (1986); Ma (2007); Putnam et al. (1986)
12,VarAssign,Primitive assignment works both directions (swaps).,Sleeman et al. (1986)
13,VarAssign,Limited understanding of expressions which lacks the concept of evaluation.,local
14,VarAssign,A variable is (merely) a pairing of a name to a changeable value (with a type). It is not stored inside the computer.,Sorva (2008); Doukakis et al. (2007)
15,VarAssign,Primitive assignment stores equations or unresolved expressions.,Bayman and Mayer (1983); du Boulay (1986); Putnam et al. (1986); Doukakis et al. (2007); Sorva (2008)
16,VarAssign,Assignment moves a value from a variable to another.,du Boulay (1986)
17,VarAssign,The natural-language semantics of variable names affects which value gets assigned to which variable.,Putnam et al. (1986); Sleeman et al. (1986); du Boulay (1986); Kaczmarczyk et al. (2010)
18,VarAssign,The order of declaration of variable names affects which value gets assigned to which variable.,Sleeman et al. (1986)
19,VarAssign,There is no size or precision limit to the values we can store in a programming variable.,Doukakis et al. (2007)
20,VarAssign,Incrementing a counter variable is an indivisible operation (no separate evaluation of right-hand side).,Soloway et al. (1982)
21,VarAssign,Primitive types (in Java) have no default value.,Kaczmarczyk et al. (2010)
22,VarAssign,Unassigned variables of primitive type (in Java) have no memory allocated.,Kaczmarczyk et al. (2010)
23,Ctrl,Difficulties in understanding the sequentiality of statements.,du Boulay (1986); Simon (2011)
24,Ctrl,Code after 􀀀 statement is not executed if the clause is.,du Boulay (1986)
25,Ctrl,􀀀 statement gets executed as soon as its condition becomes true.,Pea (1986)
26,Ctrl,A false condition ends program if no branch.,Putnam et al. (1986); Sleeman et al. (1986)
27,Ctrl,Both and branches are executed.,Sleeman et al. (1986)
28,Ctrl,The branch is always executed.,Sleeman et al. (1986)
29,Ctrl,Using is optional (the next statement is always the branch),Sleeman et al. (1986)
30,Ctrl,Adjacent code executes within loop.,Putnam et al. (1986); Sleeman et al. (1986)
31,Ctrl,Control goes back to start when condition is false.,Putnam et al. (1986); Sleeman et al. (1986)
32,Ctrl,Difficulty in understanding automated changes to 􀀀 loop control variables.,du Boulay (1986)
33,Ctrl,loops terminate as soon as condition changes to false.,Pea (1986); du Boulay (1986)
34,Ctrl,􀀀 loop control variables do not have values inside the loop or their values can be arbitrarily changed.,Putnam et al. (1986); Sleeman et al. (1986)
35,Ctrl,"Print statements are always executed, irrespective of branching statements.",Sleeman et al. (1986)
36,Ctrl,All statements of a program get executed at least once.,Sleeman et al. (1986)
37,Ctrl,Subprogram code is executed according to the order in which the subprograms are defined.,Ragonis and Ben-Ari (2005a); Sleeman et al. (1986); Vainio (2006)
38,Calls,A return values does not need to be stored (even if one needs it later).,Hristova et al. (2003)
39,Calls,A method can be invoked only once.,Ragonis and Ben-Ari (2005a)
40,Calls,Numbers or numeric constants are the only appropriate actual parameters corresponding to integer formal parameters.,Fleury (2000)
41,Calls,Difficulties distinguishing between actual and formal parameters. Confusion over where parameter values come from.,Hristova et al. (2003); Ragonis and Ben-Ari (2005a)
42,Calls,Difficulties understanding the invocation of a method from another method.,Ragonis and Ben-Ari (2005a)
43,Calls,Confusion over where return values go.,Ragonis and Ben-Ari (2005a)
44,Calls,Parameter passing forms direct name-based procedure-to-procedure links between variables with the same name (in call and signature).,Madison and Gifford (1997)
45,Calls,Parameter passing forms direct procedure-to-procedure links between variables with different names (in call and signature).,Madison and Gifford (1997)
46,Calls,Parameter passing requires different variable names in call and signature.,Madison and Gifford (1997)
47,Calls,Subprograms can (routinely) use the variables of calling subprograms.,Fleury (1991)
48,Calls,Cannot use globals in subprograms when they have not been passed as parameters.,Fleury (1991)
49,Calls,"When the value of a global variable is changed in a procedure, the new value will not be available to the main program unless it is explicitly passed to it.",Fleury (1991)
50,Calls,A function (always) changes its input variable to become the output.,Paz and Leron (2009)
51,Calls,Expressions (not their values) are passed as parameters.,local
52,Calls,Argument expressions cause changes in existing variables.,George (2000a)
53,Calls,"Upon return, the value of a variable changes to correspond to match a previously given parameter.",George (2000a)
54,Rec,Null model of recursion: recursion is impossible.,Kahney (1983)
