submission_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s000032653,u490144125,1473812430,Java,JAVA,java,Runtime Error,0,0,197,0/1
s000099112,u737635520,1433156319,Java,JAVA,java,Accepted,40,16868,236,1/1
s000624495,u648085996,1423217668,Java,JAVA,java,Wrong Answer,30,16928,170,0/1
s000780971,u664399482,1402387572,Java,JAVA,java,Accepted,30,16844,141,1/1
s001006300,u413996626,1309073635,Java,JAVA,java,Runtime Error,0,9380,97,
s001628854,u448814395,1426342991,Java,JAVA,java,Accepted,30,15016,220,1/1
s002454332,u952169663,1492066496,Java,JAVA,java,Accepted,30,24176,346,1/1
s002488906,u600433280,1435290159,Java,JAVA,java,Accepted,40,16852,311,1/1
s003293408,u634231295,1460882306,Java,JAVA,java,Accepted,40,23940,186,1/1
s004014264,u989082914,1461671981,Java,JAVA,java,Wrong Answer,40,23784,140,0/1
s004892254,u418823316,1556871252,Java,JAVA,java,Accepted,30,24216,227,1/1
s005477287,u622375508,1484674804,Java,JAVA,java,Wrong Answer,30,24024,139,0/1
s005815885,u523886269,1382452013,Java,JAVA,java,Compile Error,30,0,196,0/1
s006538158,u489809100,1430736848,Java,JAVA,java,Time Limit Exceeded,20000,61768,182,0/1
s006959232,u982302262,1406942030,Java,JAVA,java,Accepted,40,16852,178,1/1
s007296722,u843408697,1395705669,Java,JAVA,java,Wrong Answer,40,15016,254,0/1
s007750544,u334031393,1432440815,Java,JAVA,java,Accepted,40,16844,210,1/1
s007887595,u088714503,1466116580,Java,JAVA,java,Accepted,40,24164,160,1/1
s008488780,u210684432,1423327949,Java,JAVA,java,Accepted,40,16852,199,1/1
s008604705,u818330642,1465116139,Java,JAVA,java,Wrong Answer,40,24316,159,0/1
s008758167,u718251004,1447217050,Java,JAVA,java,Wrong Answer,30,24056,348,0/1
s009871129,u871583613,1382545880,Java,JAVA,java,Runtime Error,0,0,177,0/1
s010234356,u793590364,1505967869,Java,JAVA,java,Compile Error,40,0,200,0/1
s010927575,u170668497,1434819232,Java,JAVA,java,Accepted,40,16864,902,1/1
s011736986,u396351521,1386147672,Java,JAVA,java,Compile Error,40,0,192,0/1
s012571275,u825346270,1451114083,Java,JAVA,java,Accepted,40,24172,239,1/1
s012642913,u072001822,1476752613,Java,JAVA,java,Wrong Answer,50,24256,148,0/1
s013038282,u059957603,1524644916,Java,JAVA,java,Wrong Answer,40,24424,197,0/1
s013626743,u011621222,1487770680,Java,JAVA,java,Wrong Answer,40,24240,187,0/1
s013956758,u157222504,1502015230,Java,JAVA,java,Compile Error,10,0,92,0/1
s014189708,u122049280,1401890436,Java,JAVA,java,Compile Error,10,0,187,0/1
s014824426,u709118050,1470891126,Java,JAVA,java,Compile Error,40,0,139,0/1
s016125309,u067299340,1486957691,Java,JAVA,java,Accepted,50,23948,267,1/1
s017885069,u180583228,1390971066,Java,JAVA,java,Compile Error,0,0,183,0/1
s018398126,u699160354,1514897085,Java,JAVA,java,Wrong Answer,60,24804,166,0/1
s018823283,u988150035,1518280603,Java,JAVA,java,Accepted,40,24184,175,1/1
s018909851,u999162940,1497986121,Java,JAVA,java,Accepted,30,23888,224,1/1
s019593456,u575634586,1396635834,Java,JAVA,java,Accepted,40,16852,218,1/1
s019912536,u686590130,1428896622,Java,JAVA,java,Compile Error,40,0,253,0/1
s020111177,u011621222,1413008165,Java,JAVA,java,WA: Presentation Error,40,16856,296,0/1
s020406133,u127170380,1395704909,Java,JAVA,java,Accepted,40,15012,395,1/1
s021341900,u383876854,1404268865,Java,JAVA,java,Accepted,50,17988,232,1/1
s022090530,u011621222,1361018041,Java,JAVA,java,Runtime Error,0,0,210,0/1
s023134098,u490144125,1473811858,Java,JAVA,java,Compile Error,0,0,212,0/1
s023341091,u011621222,1363284415,Java,JAVA,java,Accepted,50,17924,233,1/1
s023459751,u220242928,1471583121,Java,JAVA,java,Wrong Answer,40,24088,188,0/1
s023633870,u856188308,1440081646,Java,JAVA,java,Accepted,40,15004,212,1/1
s024059122,u695351069,1467610470,Java,JAVA,java,Compile Error,60,0,183,0/1
s024442289,u009838744,1471480366,Java,JAVA,java,Accepted,50,24236,200,1/1
s025637532,u903884476,1506971045,Java,JAVA,java,Compile Error,50,0,170,0/1
s025721623,u793590364,1505968146,Java,JAVA,java,Compile Error,40,0,209,0/1
s026011016,u226079266,1316963912,Java,JAVA,java,Wrong Answer,40,9344,133,
s026201779,u651825509,1266214898,Java,JAVA,java,Accepted,40,9028,111,
s026275119,u439308052,1494758696,Java,JAVA,java,Accepted,30,24224,216,1/1
s027801074,u464852834,1424419697,Java,JAVA,java,Accepted,40,16856,214,1/1
s027808561,u637673746,1467599708,Java,JAVA,java,Accepted,40,24116,200,1/1
s028973460,u804933011,1421908193,Java,JAVA,java,Runtime Error,0,0,364,0/1
s030387087,u339990004,1355756417,Java,JAVA,java,Wrong Answer,50,9268,247,0/1
