File Name,Code Snippet
s000032653.java,"public class Main{

  public static void main()
  {
    for (int i = 1;i < 10 ; i++ ) {
      for (int j = 1;j< 10 ;j++ ) {
        System.out.println(i+""x""+j+""=""+(i*j));
      }
      
    }
  }
}"
s000099112.java,"class Main {

	public static void main(String[] args)
	{
		for(int i = 1; i < 10; ++i)
		{
			for(int j = 1; j < 10; ++j)
			{
				System.out.println(Integer.toString(i)+""x""+Integer.toString(j)+""=""+Integer.toString(i*j));
			}
		}
	}
} "
s000624495.java,"class Main{
    public static void main(String[] args){
		for(int i=1;i<=9;i++){
			for(int j=1;j<=9;j++){
				System.out.println(i + ""×"" + j + ""="" + i*j);
			}
		}
	}
}"
s000780971.java,"class Main{
public static void main(String a[]){
for(int i=1;i<10;i++){
	for(int j=1;j<10;j++){
	System.out.println(i+""x""+j+""=""+i*j);
}
}
}
}"
s001006300.java,"class Main{static{int i,j;for(i=1;i<10;i++)for(j=1;j<10;)System.out.println(i+""x""+j+""=""+i*j++);}}"
s001628854.java,"class Main{
	/*
	 * ???????????¨???
	 */
    public static void main(String[] a){
    	for(int i=1; i<10; i++){
    		for(int j=1; j<10; j++){
    			System.out.println(i + ""x"" + j + ""="" + i * j);
    		}
    	}
    }
}"
s002454332.java,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.ArrayList;

public class Main {

	public static void main(String[] args) throws NumberFormatException, IOException {
		
		for(int i =  1; i <= 9; i++) for(int j =  1; j <= 9; j++) System.out.println(i + ""x"" + j + ""="" + (i * j));
		
	}
}"
s002488906.java,"class Main{
    public static void main(String[] a){
        int[] b = {1,2,3,4,5,6,7,8,9};
        int sum=0;

        for(int i=0; i<b.length; i++){
           for(int n=0; n<b.length; n++){
             sum = b[i] * b[n];
             System.out.println(b[i]+""x""+b[n]+""=""+sum);
           }
        }
    }
}"
s003293408.java,"class Main {
	public static void main(String[] args) {
		for (int i = 1; i <= 9; i++) {
			for (int j = 1; j <= 9; j++) {
				System.out.println(i + ""x"" + j + ""="" + i * j);
			}
		}
	}
}"
s004014264.java,"class Main{
       public static void main(String[] args) {
		for(int i=1;i<10;i++){
			System.out.println(i+"" x ""+i+"" = ""+(i*i));
		}
	}

}"
s004892254.java,"class Main{
    public static void main(String[] a){
        for(int i = 1; i <= 9 ; i++) {
            for(int j = 1; j <= 9; j++) {
                System.out.println(i + ""x"" + j + ""="" + i*j);
            }
        }
    }
}
"
